providerName	opened	reason	disposition	conclusion	amountPayed	insuranceDate
Sentinel Insurance Company, Ltd	02-05-2015	Unfair Claims Practice	Contract Provision	Unjustified	11059	16-01-2014
Sentinel Insurance Company, Ltd	02-11-2015	Unfair Claims Practice	Claim Settled	Unjustified	11054	15-03-2016
Sentinel Insurance Company, Ltd	02-26-2015	Marketing-Sales	Corrective Action	Justified	9063	15-07-2015
Sentinel Insurance Company, Ltd	03-09-2015	Unfair Claims Practice	Claim Settled	Unjustified	11053	03-03-2017
Sentinel Insurance Company, Ltd	03-18-2015	Unfair Claims Practice	Claim Settled	Unjustified	11059	15-01-2018
Sentinel Insurance Company, Ltd	03-24-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	26-01-2017
Sentinel Insurance Company, Ltd	03-26-2015	Unfair Claims Practice	Claim Settled	Unjustified	11059	13-12-2015
Sentinel Insurance Company, Ltd	04-09-2015	Premium and Rating	Company Position Upheld	Unjustified	11064	09-05-2013
Sentry Select Insurance Company	04-09-2015	Underwriting	Cancellation Upheld	Unjustified	11060	30-11-2013
Sentry Select Insurance Company	05-15-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	04-09-2016
Sirius International Insurance Corporation	05-18-2015	Unfair Claims Practice	Corrective Action	Justified	9074	06-11-2014
American Modern Home Insurance Company	05-18-2015	Premium and Rating	Premium Refund	Voluntary Reconsider	20067	27-03-2016
Amica Mutual Insurance Company	05-27-2015	Unfair Claims Practice	Enter Arbitration	Unjustified	11062	23-02-2017
Standard Fire Insurance Company (The)	05-27-2015	Premium and Rating	Company Position Upheld	Unjustified	11075	26-10-2014
Standard Fire Insurance Company (The)	06-29-2015	Unfair Claims Practice	Corrective Action	Questionable	12069	16-12-2016
Standard Fire Insurance Company (The)	07-22-2015	Underwriting	Cancellation Upheld	Unjustified	11071	12-12-2014
Standard Fire Insurance Company (The)	07-28-2015	Unfair Claims Practice	Contract Provision	Unjustified	11070	09-06-2015
Standard Fire Insurance Company (The)	08-05-2015	Underwriting	Cancellation Upheld	Unjustified	11066	21-05-2014
Standard Fire Insurance Company (The)	08-13-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11075	29-05-2015
Standard Fire Insurance Company (The)	08-19-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11075	21-11-2016
Standard Fire Insurance Company (The)	08-19-2015	Premium and Rating	Corrective Action	Justified	9068	07-12-2013
Standard Fire Insurance Company (The)	08-26-2015	Unfair Claims Practice	Corrective Action	Questionable	12069	29-12-2017
Standard Fire Insurance Company (The)	09-01-2015	Unfair Claims Practice	Contract Provision	Unjustified	11065	13-12-2013
Standard Fire Insurance Company (The)	09-03-2015	Unfair Claims Practice	Refer To Appraisal	Unjustified	11065	01-09-2014
Standard Fire Insurance Company (The)	09-08-2015	Unfair Claims Practice	Contract Provision	Unjustified	11065	10-03-2013
Standard Fire Insurance Company (The)	10-07-2015	Premium and Rating	Company Position Upheld	Unjustified	11070	23-08-2017
Standard Fire Insurance Company (The)	10-15-2015	Unfair Claims Practice	Claim Settled	Unjustified	11065	19-11-2013
Standard Fire Insurance Company (The)	10-19-2015	Underwriting	Company Position Upheld	Unjustified	11075	17-12-2017
Standard Fire Insurance Company (The)	11-16-2015	Premium and Rating	Company Position Upheld	Unjustified	11075	25-12-2016
Standard Fire Insurance Company (The)	11-19-2015	Underwriting	Cancellation Withdrawn	Unjustified	11074	17-06-2013
Standard Fire Insurance Company (The)	11-19-2015	Underwriting	Cancellation Withdrawn	Unjustified	11074	09-04-2015
Standard Fire Insurance Company (The)	12-03-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	14-12-2017
Standard Fire Insurance Company (The)	12-31-2015	Premium and Rating	Company Position Upheld	Unjustified	11075	05-02-2016
Standard Fire Insurance Company (The)	01-13-2016	Premium and Rating	Corrective Action	Justified	9069	28-02-2017
Standard Fire Insurance Company (The)	06-27-2018	Premium and Rating	Rate Increase Explained	Furnished Information	21075	25-08-2013
Standard Fire Insurance Company (The)	01-27-2016	Unfair Claims Practice	Claim Settled	Justified	9065	24-03-2015
Standard Fire Insurance Company (The)	02-02-2016	Marketing-Sales	Corrective Action	Justified	9064	16-02-2018
Standard Fire Insurance Company (The)	02-04-2016	Underwriting	Company Position Upheld	Unjustified	11070	30-11-2013
Standard Fire Insurance Company (The)	02-04-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	20-05-2017
Anthem Health Plans, Inc	02-11-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11057	25-09-2014
Standard Fire Insurance Company (The)	02-23-2016	Premium and Rating	Company Position Upheld	Unjustified	11074	18-06-2015
Standard Fire Insurance Company (The)	03-03-2016	Unfair Claims Practice	Contract Provision	Unjustified	11065	01-11-2016
Standard Fire Insurance Company (The)	03-03-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	02-06-2014
Standard Fire Insurance Company (The)	03-08-2016	Underwriting	Cancellation Upheld	Unjustified	11066	29-09-2013
Standard Fire Insurance Company (The)	03-11-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	30-07-2014
Standard Fire Insurance Company (The)	03-18-2016	Unfair Claims Practice	Contract Provision	Unjustified	11070	05-07-2014
Standard Fire Insurance Company (The)	03-21-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	14-11-2017
Progressive Casualty Insurance Company	03-23-2016	Underwriting	Non-Renewal Rescinded	Justified	9074	14-05-2015
Standard Fire Insurance Company (The)	03-24-2016	Unfair Claims Practice	Contract Provision	Unjustified	11070	02-11-2016
Standard Fire Insurance Company (The)	03-28-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11075	21-08-2014
Standard Fire Insurance Company (The)	03-31-2016	Underwriting	Cancellation Upheld	Unjustified	11071	23-04-2015
Standard Fire Insurance Company (The)	03-31-2016	Unfair Claims Practice	Policy Not In Force	Unjustified	11071	05-03-2014
Standard Fire Insurance Company (The)	03-31-2016	Premium and Rating	Company Position Upheld	Unjustified	11074	20-07-2017
Standard Fire Insurance Company (The)	03-31-2016	Underwriting	Non-Renewal Rescinded	Unjustified	11073	20-03-2016
Standard Fire Insurance Company (The)	04-01-2016	Premium and Rating	Company Position Upheld	Unjustified	11070	27-01-2013
Liberty Insurance Corporation	04-01-2016	Underwriting	Company Position Upheld	Unjustified	11062	18-09-2017
Standard Fire Insurance Company (The)	04-11-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11069	31-08-2014
Standard Fire Insurance Company (The)	04-27-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	20-12-2016
Standard Fire Insurance Company (The)	05-16-2016	Underwriting	Company Position Upheld	Unjustified	11075	01-09-2016
Standard Fire Insurance Company (The)	05-31-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11075	22-04-2014
Standard Fire Insurance Company (The)	06-06-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	01-03-2017
Standard Fire Insurance Company (The)	06-09-2016	Unfair Claims Practice	Claim Settled	Questionable	12060	10-10-2013
Standard Fire Insurance Company (The)	07-05-2016	Unfair Claims Practice	Contract Provision	Unjustified	11065	26-11-2016
Standard Fire Insurance Company (The)	07-05-2016	Unfair Claims Practice	Claim Settled	Unjustified	11060	01-05-2013
Standard Fire Insurance Company (The)	07-05-2016	Unfair Claims Practice	Contract Provision	Unjustified	11065	14-07-2014
Standard Fire Insurance Company (The)	07-21-2016	Unfair Claims Practice	Claim Settled	Unjustified	11065	29-11-2015
Standard Fire Insurance Company (The)	07-22-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11071	27-03-2016
Standard Fire Insurance Company (The)	07-27-2016	Unfair Claims Practice	Claim Settled	Unjustified	11065	08-01-2018
State Farm Fire & Casualty Company	07-28-2016	Premium and Rating	Company Position Upheld	Unjustified	11072	01-03-2013
Standard Fire Insurance Company (The)	08-04-2016	Underwriting	Non-Renewal Upheld	Unjustified	11065	06-08-2016
United Services Automobile Association	08-09-2016	Premium and Rating	Premium Refund	Voluntary Reconsider	20062	15-09-2015
Standard Fire Insurance Company (The)	08-30-2016	Premium and Rating	Company Position Upheld	Unjustified	11075	24-06-2013
Standard Fire Insurance Company (The)	09-19-2016	Unfair Claims Practice	Contract Provision	Unjustified	11070	16-12-2013
Standard Fire Insurance Company (The)	09-26-2016	Marketing-Sales	Company Position Upheld	Unjustified	11075	29-04-2015
Standard Fire Insurance Company (The)	10-17-2016	Premium and Rating	Premium Refund	Unjustified	11066	13-05-2016
Standard Fire Insurance Company (The)	10-19-2016	Underwriting	Non-Renewal Upheld	Unjustified	11070	16-11-2014
Standard Fire Insurance Company (The)	10-19-2016	Unfair Claims Practice	Contract Provision	Unjustified	11070	03-08-2014
Standard Fire Insurance Company (The)	10-31-2016	Unfair Claims Practice	Claim Settled	Unjustified	11065	03-10-2013
Standard Fire Insurance Company (The)	11-07-2016	Premium and Rating	Company Position Upheld	Unjustified	11070	18-02-2016
Standard Fire Insurance Company (The)	11-10-2016	Unfair Claims Practice	Contract Provision	Unjustified	11064	19-07-2013
Standard Fire Insurance Company (The)	11-14-2016	Unfair Claims Practice	Contract Provision	Unjustified	11070	05-04-2015
Standard Fire Insurance Company (The)	11-18-2016	Underwriting	Non-Renewal Upheld	Unjustified	11070	28-06-2016
Standard Fire Insurance Company (The)	11-28-2016	Unfair Claims Practice	Contract Provision	Unjustified	11070	02-02-2018
Standard Fire Insurance Company (The)	11-29-2016	Underwriting	Company Position Upheld	Unjustified	11075	19-06-2016
Standard Fire Insurance Company (The)	12-09-2016	Underwriting	Cancellation Upheld	Unjustified	11065	13-12-2014
Standard Fire Insurance Company (The)	12-22-2016	Unfair Claims Practice	Corrective Action	Justified	9069	08-07-2014
Standard Fire Insurance Company (The)	12-22-2016	Unfair Claims Practice	Corrective Action	Justified	9068	31-08-2013
Standard Fire Insurance Company (The)	01-03-2017	Unfair Claims Practice	Claim Settled	Justified	9060	16-01-2015
Standard Fire Insurance Company (The)	01-04-2017	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19066	05-03-2014
Standard Fire Insurance Company (The)	01-27-2017	Unfair Claims Practice	Contract Provision	Justified	9070	04-04-2014
Standard Fire Insurance Company (The)	01-27-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11075	15-11-2014
Standard Fire Insurance Company (The)	02-17-2017	Unfair Claims Practice	Claim Settled	Unjustified	11065	26-04-2014
Standard Fire Insurance Company (The)	02-22-2017	Underwriting	Non-Renewal Upheld	Unjustified	11070	22-11-2017
Allstate Fire and Casualty Insurance Company	03-02-2017	Premium and Rating	Company Position Upheld	Unjustified	11077	05-12-2017
Standard Insurance Company	03-10-2017	Premium and Rating	Company Position Upheld	Unjustified	11059	01-09-2014
Standard Insurance Company	03-27-2017	Underwriting	Non-Renewal Upheld	Unjustified	11059	30-01-2018
Kemper Independence Insurance Company	04-26-2017	Underwriting	Company Position Upheld	Unjustified	11075	28-12-2014
Standard Insurance Company	05-04-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11059	24-06-2014
Standard Insurance Company	05-09-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11059	27-06-2016
Standard Insurance Company	05-30-2017	Underwriting	Non-Renewal Upheld	Unjustified	11059	17-11-2016
Star Insurance Company	05-31-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11060	12-03-2015
Star Insurance Company	06-05-2017	Unfair Claims Practice	Claim Settled	Unjustified	11045	16-12-2017
StarNet Insurance Company	06-13-2017	Unfair Claims Practice	Contract Provision	Unjustified	11058	11-05-2013
Starr Indemnity & Liability Company	07-10-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11068	03-01-2017
Starr Indemnity & Liability Company	07-10-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11068	29-10-2013
Starr Indemnity & Liability Company	04-25-2018	Unfair Claims Practice	Claim Settled	Unjustified	11062	16-05-2016
Starr Indemnity & Liability Company	07-14-2017	Unfair Claims Practice	Contract Provision	Unjustified	11068	25-06-2013
Starr Indemnity & Liability Company	07-14-2017	Premium and Rating	Company Position Upheld	Unjustified	11073	02-05-2015
State Auto Property & Casualty Insurance Company	07-21-2017	Unfair Claims Practice	Corrective Action	Justified	9080	23-04-2017
State Auto Property & Casualty Insurance Company	07-31-2017	Unfair Claims Practice	Claim Settled	Questionable	12076	23-11-2016
State Auto Property & Casualty Insurance Company	08-04-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11081	20-02-2017
State Auto Property & Casualty Insurance Company	02-25-2016	Premium and Rating	Contract Provision	Unjustified	11080	04-12-2014
State Auto Property & Casualty Insurance Company	05-09-2016	Marketing-Sales	Company Position Upheld	Unjustified	11081	09-06-2017
State Farm Fire & Casualty Company	06-20-2018	Underwriting	Pol Restored-Reinstated	Voluntary Reconsider	20072	29-10-2015
State Auto Property & Casualty Insurance Company	11-10-2014	Underwriting	Non-Renewal Upheld	Unjustified	11076	01-04-2014
State Auto Property & Casualty Insurance Company	11-10-2014	Unfair Claims Practice	Company Position Upheld	Unjustified	11081	02-10-2016
State Auto Property & Casualty Insurance Company	11-17-2014	Unfair Claims Practice	Company Position Upheld	Unjustified	11086	17-02-2016
State Auto Property & Casualty Insurance Company	12-04-2014	Underwriting	Cancellation Upheld	Unjustified	11077	05-10-2015
State Auto Property & Casualty Insurance Company	12-08-2014	Premium and Rating	Company Position Upheld	Unjustified	11080	22-11-2014
Progressive Direct Insurance Company	12-09-2014	Premium and Rating	Company Position Upheld	Unjustified	11068	07-04-2013
State Automobile Mutual Insurance Company	12-11-2014	Underwriting	Non-Renewal Upheld	Unjustified	11069	02-01-2014
State Automobile Mutual Insurance Company	12-11-2014	Underwriting	Non-Renewal Upheld	Unjustified	11069	18-03-2013
Allstate Insurance Company	01-12-2015	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19055	09-05-2016
GEICO Indemnity Company	01-30-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11061	26-01-2016
State Farm Fire & Casualty Company	02-06-2015	Unfair Claims Practice	Claim Settled	Unjustified	11056	06-06-2016
State Farm Fire & Casualty Company	02-18-2015	Unfair Claims Practice	Enter Arbitration	Unjustified	11066	10-02-2016
State Farm Fire & Casualty Company	05-03-2018	Unfair Claims Practice	Company Position Upheld	Furnished Information	21067	25-05-2016
State Farm Fire & Casualty Company	02-20-2015	Unfair Claims Practice	Claim Settled	Questionable	12062	24-07-2013
State Farm Fire & Casualty Company	02-23-2015	Marketing-Sales	Company Position Upheld	Unjustified	11072	17-02-2013
State Farm Fire & Casualty Company	03-25-2015	Unfair Claims Practice	Enter Arbitration	Unjustified	11066	03-02-2014
State Farm Fire & Casualty Company	06-04-2018	Premium and Rating	Company Position Upheld	Unjustified	11067	10-01-2014
State Farm Fire & Casualty Company	04-06-2015	Unfair Claims Practice	Contract Provision	Unjustified	11062	26-11-2013
State Farm Fire & Casualty Company	06-21-2018	Unfair Claims Practice	Enter Arbitration	Unjustified	11065	26-01-2017
State Farm Fire & Casualty Company	06-09-2015	Unfair Claims Practice	Claim Settled	Questionable	12057	02-05-2014
State Farm Fire & Casualty Company	06-10-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11067	24-12-2014
